ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
244,32 VINAL,HUDSON,TOWER ST,9-Feb-15,1
245,26 WHIPPOORWILL,SHREWSBURY,FLORAL ST,9-Feb-15,1
246,40 BELMONT,WORCESTER,FOUNTAIN ST,9-Feb-15,1
247,21-23 HUNTING,CAMBRIDGE,CAMBRIDGE ST,10-Feb-15,1
248,SHARP,DARTMOUTH,@ MILTON ST,10-Feb-15,2
249,83A EAST MAIN,MARLBORO,,10-Feb-15,2
250,207 NORTH,SHREWSBURY,PROSPECT ST,10-Feb-15,1
251,64 BEACON,WORCESTER,HERMAN ST,10-Feb-15,1
252,254 SOUTHWEST,WORCESTER,,10-Feb-15,1
253,LONG,FRAMINGHAM,@ WINTER ST,11-Feb-15,1
254,5 BEXLEY,FRAMINGHAM,,11-Feb-15,1
255,MILTON,DARTMOUTH,MCCABE ST,11-Feb-15,2
256,106 DONNA,HOLLISTON,,11-Feb-15,1
257,7 BALIAN,MILFORD,JOHN ST,11-Feb-15,1
258,27 MOUNT HOPE,DEDHAM,CURVE ST,19-Feb-15,2
259,119 MAPLEWOOD,MARLBORO,,3-Mar-15,2
260,13 WILDEWOOD,FRAMINGHAM,LEDGEWOOD RD,2-Mar-15,2
261,11 SHAW,PLYMOUTH,,13-Feb-15,1
262,MILL,ACUSHNET,@ MIDDLE RD,19-Feb-15,2
263,446 FRANKLIN,WORCESTER,NORFOLK ST,14-Feb-15,1
264,955 HILLCREST,NEW BEDFORD,,18-Feb-15,2
265,197 WINTER,FRAMINGHAM,MAPLE ST,16-Feb-15,1
266,CHANDLER,WORCESTER,@ QUEEN ST,16-Feb-15,1
267,17-27 PLEASANT,WORCESTER,MAIN ST,16-Feb-15,1
268,621 SUNDERLAND,WORCESTER,IDEAL RD,6-Mar-15,2
269,112 HOLWORTHY,CAMBRIDGE,,17-Feb-15,1
270,18 SUNRISE,GRAFTON,,17-Feb-15,2
271,33 ALLEN,MARION,FRONT ST,17-Feb-15,1
272,555 MAPLE,MARION,,17-Feb-15,1
273,64 CHILMARK,WORCESTER,ADAMS ST,17-Feb-15,1
274,BILLOW,WORCESTER,LAKE AVE,17-Feb-15,1
275,WHITTIER,CAMBRIDGE,@ UPLAND RD,18-Feb-15,2
276,21 POMONA,WORCESTER,PLEASANT ST,18-Feb-15,1
277,29 BEACON,NATICK,ARTHUR ST,3-Mar-15,2
278,440 WASHINGTON,AUBURN,,18-Feb-15,1
279,87 TREMONT,CAMBRIDGE,CAMBRIDGE ST,18-Feb-15,2
280,5 FOCH,CAMBRIDGE,,18-Feb-15,1
281,231 FAIRMOUNT,HYDE PARK,SUMMIT ST,18-Feb-15,2
282,146 MAIN,UPTON,,18-Feb-15,1
283,NORTH CIRCUIT,WORCESTER,@ 45 EAST CIRCUIT AVE,18-Feb-15,1
284,CARLISLE,WORCESTER,@ LOVELL ST,18-Feb-15,1
285,547 SOUTHBRIDGE,AUBURN,WATER ST,19-Feb-15,1
286,110 ALEXANDER,FRAMINGHAM,EAMES ST,19-Feb-15,1
287,82 CLINTON,FRAMINGHAM,GRANT ST,19-Feb-15,1
288,85 ADIN,HOPEDALE,STEEL RD,19-Feb-15,2
289,220 BRATTLE,CAMBRIDGE,FRESH POND PKWY,26-Feb-15,2
290,20 CETRINA,MARLBORO,,26-Feb-15,2
291,1461-1463 HYDE PARK,HYDE PARK,WILTON ST,6-Mar-15,2
292,940 PLEASANT,WORCESTER,FLAGG ST,25-Mar-15,2
293,14 CALVIN,SOMERVILLE,,14-Jul-15,2
294,32 OAK TREE,DEDHAM,,19-Feb-15,1
295,12 PROSPECT,KINGSTON,PROSPECT ST,19-Feb-15,1
296,16 MICHIGAN,NATICK,,19-Feb-15,1
297,108 GROVE,WORCESTER,LANCASTER ST,19-Feb-15,1
298,35 PLEASANT,WORCESTER,MAIN ST,19-Feb-15,1
299,18 EVERGREEN,FAIRHAVEN,HILL ST,23-Feb-15,2
300,140 WEST,MILFORD,HIGHLAND ST,23-Feb-15,2
301,1950 MASSACHUSETTS,CAMBRIDGE,DAVENPORT ST,23-Mar-15,2
302,20 ELMWOOD,CAMBRIDGE,TRAILL ST,20-Feb-15,2
303,26 HILL,FAIRHAVEN,,20-Feb-15,1
304,16 RED BUD,MARLBORO,CEDAR HILL RD,20-Feb-15,2
305,1540 CAMBRIDGE,CAMBRIDGE,ELLSWORTH AVE,21-Feb-15,1
306,45 SOL E MAR,DARTMOUTH,,21-Feb-15,1
307,23 RANLEY,HYDE PARK,,21-Feb-15,1
308,91 MURRAY,WORCESTER,ETHAN ALLEN ST,21-Feb-15,1
309,446 FRANKLIN,WORCESTER,NORFOLK ST,26-Feb-15,1
310,1 CRAIGIE,CAMBRIDGE,CONCORD AVE,22-Feb-15,1
311,26 ELMWOOD,CAMBRIDGE,,22-Feb-15,1
312,41 MEADE,MILFORD,COLUMBUS AVE,22-Feb-15,1
313,34 BERKELEY,SOMERVILLE,HERSEY ST,22-Feb-15,2
314,42 PRESTON,SOMERVILLE,,22-Feb-15,1
315,17 RADMORE,WORCESTER,BRANTWOOD RD,22-Feb-15,1
316,835 MAIN,WORCESTER,MAY ST,22-Feb-15,1
317,29-31 WALNUT,MILFORD,ON EMMONS ST,25-Feb-15,2
318,HADWEN,WORCESTER,@ MORNINGSIDE RD,28-Feb-15,1
319,SIXTH,CAMBRIDGE,@ ROGERS ST,23-Feb-15,1
320,16 SMITH,DARTMOUTH,,23-Feb-15,1
321,COCHITUATE,FRAMINGHAM,@ I-90,23-Feb-15,1
322,18 RED PINE,HYDE PARK,,23-Feb-15,1
323,35 WARREN,MARLBORO,,23-Feb-15,2
324,376-390 UNIVERSITY,WESTWOOD,,23-Feb-15,1
325,550 PARK,WORCESTER,BEAVER BROOK PKWY,23-Feb-15,1
326,32 SUPERIOR,WORCESTER,HAMILTON ST,23-Feb-15,1
327,603 WEST BOYLSTON,WORCESTER,RANDALL ST,23-Feb-15,1
328,560 CAMBRIDGE,WORCESTER,WASHBURN ST,23-Feb-15,1
329,11 NELSON,NORTHBORO,,24-Feb-15,1
330,20 COTTAGE,SOMERVILLE,BOWENS AVE,24-Feb-15,1
331,HUNTER,MARLBORO,@ MONTANARI DR,25-Feb-15,2
332,18 EVERGREEN,FAIRHAVEN,,3-Mar-15,2
333,85 WATER,HOLLISTON,,24-Feb-15,1
334,81 CAUSEWAY,HUDSON,,24-Feb-15,1
335,49 BRIMSMEAD,MARLBORO,SHORT ST,24-Feb-15,1
336,159 ARNOLD,NEW BEDFORD,,24-Feb-15,1
337,GRINNELL,DARTMOUTH,@ 18 HOWLAND ST,25-Feb-15,2
338,15 FEARING,WESTWOOD,,27-Feb-15,2
339,HATHAWAY,NEW BEDFORD,@ VALLEY VIEW DR,27-May-15,2
340,125 OXFORD,CAMBRIDGE,,25-Feb-15,1
341,26 RUSTCRAFT,DEDHAM,,25-Feb-15,1
342,CEDAR,WORCESTER,@ RUSSELL ST,25-Feb-15,1
343,8 NEW BOND,WORCESTER,STORES ST,25-Feb-15,1
344,151 EDGEWATER,FRAMINGHAM,BEXLEY RD,3-Mar-15,2
345,43-45 MADEIRA,NEW BEDFORD,HATHAWAY ST,6-Mar-15,2
346,101-103 SHAW,NEW BEDFORD,CONDUIT ST,10-Mar-15,2
347,22 SYLVESTER,NATICK,MOORE ST,11-May-15,3
348,305 WEBSTER,CAMBRIDGE,COLUMBIA ST,26-Feb-15,1
349,41 HARWOOD,NATICK,,26-Feb-15,1
350,23 WEST,NEEDHAM,,26-Feb-15,1
351,211 PROVIDENCE,WORCESTER,@ UPSALA ST,26-Feb-15,1
352,211 PROVIDENCE,WORCESTER,@ UPSALA ST,26-Feb-15,1
353,554 PLEASANT,WORCESTER,NORMAN AVE,26-Feb-15,1
354,23 EVERETT,CAMBRIDGE,,27-Feb-15,1
355,20-22 HAMLET,FAIRHAVEN,,27-Feb-15,2
356,31 MAIN,FAIRHAVEN,UNION ST,27-Feb-15,1
357,PROVIDENCE,WORCESTER,@ UPSALA ST,27-Feb-15,1
358,1 TIHONET,WORCESTER,COPPERFIELD RD,27-Feb-15,1
359,SANFORD,HYDE PARK,@ DANNY RD,2-Mar-15,2
360,20 FORBES,MARLBORO,,2-Mar-15,2
361,3 GRAY GARDENS EAST,CAMBRIDGE,GARDEN ST,3-Mar-15,2
362,3 LEE,KINGSTON,MAY ST,3-Mar-15,2
363,272 RIDGE,HOLLISTON,CHAMBERLAIN ST,4-Mar-15,2
364,110 ALEXANDER,FRAMINGHAM,@ EAMES ST,11-Mar-15,2
365,186 ELM,CAMBRIDGE,TENNEY ST,13-Mar-15,2
366,233 BEVERLY,WORCESTER,DARBY ST,24-Mar-15,2
367,31 MAIN,FAIRHAVEN,@ UNION ST,28-Feb-15,1
368,160 ELM,NEW BEDFORD,COUNTY ST,28-Feb-15,1
369,50 CHERRY,SOMERVILLE,,28-Feb-15,1
370,52 FISHER,WESTWOOD,,28-Feb-15,1
371,6 HARRINGTON,WORCESTER,JEANETTE ST,28-Feb-15,1
372,54 CEDAR,WORCESTER,SEVER ST,28-Feb-15,1
373,MCGRATH,SOMERVILLE,GREENVILLE ST,2-Mar-15,2
374,29 GLEASON,FRAMINGHAM,KING ST,1-Mar-15,1
