ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
a70e79b870223efa5ef08226d02f1349,89 HIGHLAND AVE WINTHROP MA,89 HIGHLAND AVE,WINTHROP,,8/23/16,2A
abcf5ada937d4cf0b9aacd7704c0ebab,89 HILLSDALE RD MEDFORD MA,89 HILLSDALE RD,MEDFORD,,9/14/16,3
12bd5cad47c60c513eda5e9211a92053,89 HYDE AVE NEWTON MA,89 HYDE AVE,NEWTON,,5/19/16,1
98358ec5448c26bfc5b71f6a79f3d680,89 MAYALL RD WALTHAM MA,89 MAYALL RD,WALTHAM,,4/8/16,1
9a984daa6f65c56404b288c419a3660d,89 PURITAN RD NEWTON MA,89 PURITAN RD,NEWTON,,5/27/16,2
723d7de84a28491b332b763aee64f61a,89 SOUTHERN AVE ESSEX MA,89 SOUTHERN AVE,ESSEX,,8/26/16,2
cb548012591bb0f225647a52e9f0ddbc,89 STEARNS RD BROOKLINE MA,89 STEARNS RD,BROOKLINE,,6/1/16,2
fefe11895b24d55fe6b834ab39ca4904,89 WILLOW ST CHELSEA MA,89 WILLOW ST,CHELSEA,,3/7/16,1
b22e2b64bd1f2b7fdfd0633f45040557,894 MAIN ST WALTHAM MA,894 MAIN ST,WALTHAM,,1/30/16,1
7246eec80805200a921eaedeb1b62867,9 ALBION ST SALEM MA,9 ALBION ST,SALEM,,7/27/16,1
257369684e5cf729b7c5ca9f55954cae,9 ALBION ST SALEM MA,9 ALBION ST,SALEM,,8/11/16,1
1013f269bfd7b794d8edaa0f0d30b85a,9 ALBION ST SALEM MA,9 ALBION ST,SALEM,,8/31/16,2A
cac7c04d1233d9e58eae0c1bed67cff0,9 APPLETON ST BOSTON MA,9 APPLETON ST,BOSTON,,5/16/16,1
9ddce8f669860a3f2b22a78e92386dc6,9 AUBURN RD BEVERLY MA,9 AUBURN RD,BEVERLY,,6/14/16,2
dc40ed39745fe095b05a31b03e7f067a,9 AVALON AV QUINCY MA,9 AVALON AV,QUINCY,,12/6/16,2
f07a4762b9aa18fd621c7845704f419b,9 BAY VIEW AVE DANVERS MA,9 BAY VIEW AVE,DANVERS,,8/2/16,2
5e49f5d7519a7361ac5a5e64e8dda802,9 BEECH ST BRAINTREE MA,9 BEECH ST,BRAINTREE,,8/29/16,2
5a45a2b358692bee9cdf6be378c39561,9 BENNETT ST WOBURN MA,9 BENNETT ST,WOBURN,,3/28/16,1
d2d0bbb6a962126b691cb54fed1cd40b,9 BROADWAY BEVERLY MA,9 BROADWAY,BEVERLY,,6/7/16,1
66e051d858c1d7a748dca23085e731dc,9 BUFFUM ST LYNN MA,9 BUFFUM ST,LYNN,,2/20/16,2A
269176389eeec8e9ff7f66fb759538bd,9 BUFFUM ST LYNN MA,9 BUFFUM ST,LYNN,,12/14/16,1
