ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
8ac679505b062804f2aa65b3317288a7,FOLLEN AND WATERHOUSE CAMBRIDGE MA, FOLLEN,CAMBRIDGE,@ WATERHOUSE,7/7/2016,2
400f97bb57af210ced08b6616d0c26b0,HARVARD AND WEBSTER ST HYDE PARK MA, HARVARD,HYDE PARK,@ WEBSTER ST,8/25/2016,1
0719a2f7abfd54100c8c1e5ecd56db95,GREAT PLAIN AND WEBSTER ST NEEDHAM MA, GREAT PLAIN,NEEDHAM,@ WEBSTER ST,12/29/2016,2
a9213624f0536f15b622974357df1919,WOOD AND WHITE ST HOPKINTON MA, WOOD,HOPKINTON,@ WHITE ST,8/22/2016,2
825ff912155793f96a7694fd2d174854,W RODNEY FRENCH AND WILLARD ST NEW BEDFORD MA, W RODNEY FRENCH,NEW BEDFORD,@ WILLARD ST,3/9/2016,2
44bc452088df5adb89d93d249a1882f7,ACUSHNET AND WING ST NEW BEDFORD MA, ACUSHNET,NEW BEDFORD,@ WING ST,1/21/2016,2
021a51dd4dc0c8383639121bcb89ea4a,COLLEGE AND WINSLOW AVE SOMERVILLE MA, COLLEGE,SOMERVILLE,@ WINSLOW AVE,10/12/2016,2
f60ee3218435c6cef6348670ce8a0192,MAPLE AND WINTER ST FRAMINGHAM MA, MAPLE,FRAMINGHAM,@ WINTER ST,10/13/2016,2
655d3a084aef0fb3055ef6e4bdb36573,BELKNAP AND WOODMERE RD FRAMINGHAM MA, BELKNAP,FRAMINGHAM,@ WOODMERE RD,3/22/2016,2
f1eb279157d0262936fa3471e431ba37,NORTH MAIN AND WORCESTER ST GRAFTON MA, NORTH MAIN,GRAFTON,@ WORCESTER ST,7/20/2016,2
2c94f535f1d7346173374da0d5ab2b9d,103 BEETLE AND ASHLEY BLVD NEW BEDFORD MA,103 BEETLE,NEW BEDFORD,@ ASHLEY BLVD,2/23/2016,1
e9e7a14a69ca5296fc81cacc791466ab,188 BELLEVILLE AND ASHLEY BLVD NEW BEDFORD MA,188 BELLEVILLE,NEW BEDFORD,@ ASHLEY BLVD,9/12/2016,2
47e3d5f59193b3e07d62180574b11009,SECOND AND BEAVER PARK FRAMINGHAM MA, SECOND,FRAMINGHAM,@ BEAVER PARK,2/4/2016,2
42d29fe56243c05d8ec142983e9fa29d,BROWNELL AND BECKMAN ST WORCESTER MA, BROWNELL,WORCESTER,@ BECKMAN ST,2/9/2016,2
606778906f3309b8f3d1650c0d47c371,MOUNT AUBURN AND BREWER CAMBRIDGE MA, MOUNT AUBURN,CAMBRIDGE,@ BREWER,1/17/2016,1
e072cb7377cab82b6d6ca4cbc769840b,UPLAND AND COUNTY RD MATTAPOISETT MA, UPLAND,MATTAPOISETT,@ COUNTY RD,1/27/2016,3
4f25885accbc2410868b0d3018ddea58,VIRGINIA AND CURTIS CIR NATICK MA, VIRGINIA,NATICK,@ CURTIS CIR,11/30/2016,2
