TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
NEW BEDFORD,125 CAMPBELL,,3,04/07/2015,
CAMBRIDGE,125 COOLIDGE,,3,05/16/2016,
NEW BEDFORD,125 HILLMAN,,3,06/18/2014,
MILLBURY,125 NORTH MAIN,,3,11/17/2014,
WORCESTER,125 PROVIDENCE,,3,10/23/2014,
NORTHBRIDGE,125 SHERYL,,3,10/22/2014,
CAMBRIDGE,125 SIXTH,,3,01/19/2016,
WORCESTER,125 VERNON,,3,11/20/2013,
WORCESTER,125 WARNER,,3,08/28/2014,
HYDE PARK,1250 HYDE PARK,,3,01/26/2016,
FRAMINGHAM,1255 WORCESTER,,3,05/04/2015,
WORCESTER,1256 MAIN,,3,11/05/2014,
HYDE PARK,126 AUSTIN,,3,05/11/2016,
NEW BEDFORD,126 SHAWMUT AVE,,3,07/28/2016,
MILLBURY,126 W. MAIN ST,,3,06/01/2016,
FRAMINGHAM,126 WINTER,,3,08/25/2015,
FRAMINGHAM,1260 WORCESTER,,3,11/23/2016,
NATICK,1268-1346 WORCESTER,,3,03/02/2016,
DEDHAM,127 AMES,,3,10/05/2016,
NEW BEDFORD,127 CARROLL,,3,05/10/2016,
HUDSON,127 FOREST,,3,11/04/2015,
CAMBRIDGE,127 WALDEN,,3,09/29/2016,
WORCESTER,128 BROOKLINE,,3,11/01/2016,
WORCESTER,128 CHANDLER,,3,10/01/2014,
WESTWOOD,128 FEARING,,3,11/26/2013,
WORCESTER,1280 PLEASANT,,3,10/27/2014,
DARTMOUTH,129 ADAMS,,3,07/17/2015,
WORCESTER,129 HOPE,,3,11/07/2016,
WORCESTER,129 MILL,,3,09/09/2016,
HYDE PARK,129 WOOD,,3,11/13/2014,
WORCESTER,1296 MAIN,,3,11/05/2014,
MARLBORO,13 BEAUREGARD,,3,11/13/2015,
FAIRHAVEN,13 BROWN,,3,10/20/2014,
MILLBURY,13 CAPTAIN PETER SIMPSON,,3,11/12/2014,
KINGSTON,13 CHESTNUT,,3,05/26/2015,
SHERBORN,13 COURSE BROOK,,3,10/01/2014,
WORCESTER,13 CROYDON,,3,11/21/2014,
WORCESTER,13 CROYDON RD,,3,08/20/2014,
ACUSHNET,13 DARLING,,3,08/18/2015,
DARTMOUTH,13 EDGEWORTH,,3,07/24/2015,
HUDSON,13 GREEN,,3,08/31/2016,
UPTON,13 HAZELTINE,,3,09/02/2015,
WESTBOROUGH,13 HIGH,,3,07/21/2016,
ACUSHNET,13 HOPE,,3,05/31/2016,
FRAMINGHAM,13 JODIE,,3,03/10/2015,
FRAMINGHAM,13 KNIGHT,,3,11/03/2014,
DARTMOUTH,13 MISHAWUM,,3,01/21/2014,
MILFORD,13 MURIEL,,3,09/23/2014,
WORCESTER,13 NEPTUNE,,3,10/04/2016,
MAYNARD,13 POWDER MILL,,3,11/13/2014,
SUTTON,13 PROVIDENCE,,3,04/15/2015,
FRAMINGHAM,13 RED COAT,,3,11/23/2016,
GRAFTON,13 SEAVER-FARM,,3,08/20/2015,
AUBURN,13 SOUTHBRIDGE,,3,10/19/2016,
NATICK,13 STRATFORD,,3,10/22/2014,
MAYNARD,13 TREMONT,,3,12/05/2016,
WORCESTER,13 WINTHROP,,3,12/06/2016,
CAMBRIDGE,13-15 PORTSMOUTH,,3,07/01/2016,
MAYNARD,13-15 RICE,,3,10/23/2014,
WORCESTER,13-17 NEPTUNE,,3,10/22/2014,
WORCESTER,130 CANTERBURY,,3,07/25/2016,
HOLLISTON,130 PINECREST,,3,06/16/2016,
MARLBORO,130 ROBERT,,3,12/01/2015,
NEW BEDFORD,130-132 TARKILN HILL,,3,07/22/2015,
WORCESTER,1300 MAIN,,3,11/01/2016,
NEEDHAM,1306 GREAT PLAIN,,3,12/03/2014,
MARLBORO,131 LEOLEIS,,3,11/26/2014,
NEW BEDFORD,131 MERRIMAC,,3,07/13/2016,
ASHLAND,131 WAVERLY,,3,06/22/2016,
FAIRHAVEN,132 PLEASANT,,3,09/08/2014,
MARLBORO,133 KOSMAS,,3,11/24/2014,
WORCESTER,133 LAFYETTE ST,,3,09/04/2014,
WORCESTER,133 PLANTATION,,3,07/29/2015,
ASHLAND,133 WAVERLY,,3,06/22/2016,
WORCESTER,133 WEST BOYLSTON,,3,09/16/2014,
WORCESTER,133-135 UNCATENA,,3,08/26/2014,
NEW BEDFORD,1332 PLEASANT,,3,08/09/2016,
WORCESTER,1333 SHREWSBURY,,3,10/02/2014,
HOLLISTON,1334 HIGHLAND,,3,06/22/2016,
HOPKINTON,134 HAYDEN ROWE,,3,11/14/2014,
ACUSHNET,134 LAWSON,,3,08/22/2014,
NEW BEDFORD,134 SOUTH SECOND,,3,12/05/2014,
NEW BEDFORD,134 SOUTH SECOND,,3,11/16/2016,
WORCESTER,1340 MAIN,,3,11/05/2014,
DEDHAM,135 BONHAM,,3,12/24/2014,
NEW BEDFORD,135 THOMPSON,,3,06/03/2016,
FAIRHAVEN,135 WASHINGTON,,3,06/23/2015,
WORCESTER,136 FREMONT,,3,09/29/2014,
MARLBORO,136 GRACE,,3,08/15/2016,
WORCESTER,136 SOUTHBRIDGE,,3,12/22/2016,
SHERBORN,136 WESTERN,,3,10/01/2014,
WORCESTER,136-138 KENBERMA,,3,11/19/2015,
MARLBORO,137 BEACH,,3,07/14/2015,
FAIRHAVEN,137 BRIDGE,,3,09/02/2014,
WORCESTER,137 MAY,,3,10/16/2014,
MILFORD,137 WEST,,3,05/26/2015,
FAIRHAVEN,138 CHESTNUT,,3,09/08/2014,
WORCESTER,138 ENDICOTT,,3,12/15/2014,
MARLBORO,138 PLEASANT,,3,10/23/2014,
MILFORD,138 SOUTH MAIN,,3,05/29/2015,
SOMERVILLE,139 COLLEGE,,3,12/11/2015,
MARLBORO,139 EDINBORO,,2,12/22/2016,
NEW BEDFORD,139 MERRIMAC,,3,08/17/2016,
DARTMOUTH,139 STEPHEN,,3,07/16/2014,
WEST BOYLSTON,139 WORCESTER,,3,07/08/2016,
NEW BEDFORD,139-141 HATCH,,3,05/27/2014,
WORCESTER,1394 MAIN,,3,11/01/2016,
WORCESTER,1398 MAIN,,3,11/01/2016,
WORCESTER,14 ANNA,,3,10/01/2014,
AUBURN,14 ARLINGTON,,3,11/04/2014,
SOMERVILLE,14 BILLINGHAM,,3,05/12/2015,
FAIRHAVEN,14 BLOSSOM,,3,08/21/2016,
WORCESTER,14 BRANDON,,3,07/15/2015,
SHERBORN,14 BROOK,,3,10/01/2014,
SOMERVILLE,14 CHERRY,,3,10/08/2014,
WORCESTER,14 COBURN,,3,12/05/2016,
ASHLAND,14 COLUMBUS,,3,05/28/2014,
WORCESTER,14 COMMODORE,,3,07/07/2015,
FAIRHAVEN,14 COOLIDGE,,3,07/29/2014,
WORCESTER,14 CREST,,3,11/21/2014,
DEDHAM,14 FRANKLIN,,3,12/15/2016,
WORCESTER,14 FRATERNAL,,3,10/23/2014,
HYDE PARK,14 GARFIELD,,3,07/13/2016,
NEEDHAM,14 GOULD,,3,09/04/2014,
FAIRHAVEN,14 HARBORVIEW,,3,09/17/2014,
NATICK,14 JENNINGS POND,,3,08/15/2014,
HYDE PARK,14 NEW BEDFORD,,3,07/01/2016,
MILFORD,14 PROSPECT,,3,11/02/2016,
FAIRHAVEN,14 SEAVIEW,,3,08/25/2014,
NATICK,14 SYLVESTER,,3,09/26/2014,
FAIRHAVEN,14 WEEDEN,,3,07/30/2014,
FRAMINGHAM,14 WELD,,3,11/19/2010,
WORCESTER,14 WELLS,,3,12/06/2016,
WESTBOROUGH,14 WEST,,3,07/22/2016,
WORCESTER,14 WEST BOYLSTON,,3,04/07/2014,
