leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
7323717,1020 SOUTHERN AR,,QUINCY,2/29/16,Not Discovered Yet,Not Discovered Yet,1,3/1/16,MA
7326159,1021 TREMONT ST,,ROXBURY,6/4/16,Not Discovered Yet,Not Discovered Yet,1,6/6/16,MA
7324938,1026 BLUE HILL AVE,,DORCHESTER,4/25/16,Not Discovered Yet,Not Discovered Yet,1,4/25/16,MA
7327011,103 BRIGHT RD,,BELMONT,6/28/16,Not Discovered Yet,Not Discovered Yet,2,12/14/16,MA
1337368,103 CYPRESS ST,,NEWTON,8/21/13,3,3,2,12/9/16,MA
7110212,103 ELLIS CIR,,WEYMOUTH,10/26/15,Not Discovered Yet,2,2,1/5/16,MA
7325851,103 EVANS ST,,DORCHESTER,5/17/16,Not Discovered Yet,Not Discovered Yet,2A,8/1/16,MA
7324183,103 GARLAND ST,,EVERETT,3/25/16,Not Discovered Yet,Not Discovered Yet,1,3/25/16,MA
7328471,103 GROVE ST,,CLINTON,8/26/16,Not Discovered Yet,Not Discovered Yet,1,8/26/16,MA
7325093,103 HARVARD AVE,,MEDFORD,4/29/16,Not Discovered Yet,Not Discovered Yet,1,4/29/16,MA
7330805,103 IRVING ST,,WATERTOWN,11/12/16,Not Discovered Yet,Not Discovered Yet,2,12/20/16,MA
7329543,103 NEPONSET AVE,,ROSLINDALE,10/17/16,Not Discovered Yet,Not Discovered Yet,1,10/17/16,MA
7323405,103 S WILLIAMS ST,,HAVERHILL,2/10/16,Not Discovered Yet,Not Discovered Yet,2,3/31/16,MA
7329151,103 WASHINGTON ST,,SALEM,9/27/16,Not Discovered Yet,Not Discovered Yet,1,9/28/16,MA
7328464,103 WASHINGTON ST,,WEYMOUTH,8/24/16,Not Discovered Yet,Not Discovered Yet,2A,10/4/16,MA
210564,103 WHEATLAND AV,,DORCHESTER,11/29/00,3,3,2A,9/15/16,MA
7330210,103 WISWALL RD,,NEWTON,11/14/16,Not Discovered Yet,Not Discovered Yet,1,11/14/16,MA
7330211,103 WISWALL RD,,NEWTON,11/14/16,Not Discovered Yet,Not Discovered Yet,1,11/14/16,MA
346708,1031 SEA ST,,QUINCY,5/14/11,3,3,3,4/22/16,MA
7329318,104 ALLEN RD,,BROOKFIELD,10/5/16,Not Discovered Yet,Not Discovered Yet,1,10/5/16,MA
7327678,104 BOSTON ST,,SALEM,7/20/16,Not Discovered Yet,Not Discovered Yet,1,7/21/16,MA
7323630,104 CEDAR ST,,QUINCY,2/24/16,Not Discovered Yet,Not Discovered Yet,1,2/25/16,MA
7323402,104 ISLAND POND RD,,GROTON,5/28/15,Not Discovered Yet,Missed 2,3,5/4/16,MA
7326557,104 NORFOLK ST,,DORCHESTER,6/16/16,Not Discovered Yet,Not Discovered Yet,1,6/16/16,MA
7327089,104 OAKLAND ST,,MALDEN,7/2/16,Not Discovered Yet,Not Discovered Yet,1,7/5/16,MA
7324378,104 OTIS ST,,MILTON,6/12/14,Missed 2,Missed 2,2,6/14/16,MA
7325031,104 PERKINS ST,,MELROSE,4/21/16,Not Discovered Yet,Not Discovered Yet,2,5/24/16,MA
7326438,104 RICHARDSON RD,,LYNN,6/9/16,Not Discovered Yet,Not Discovered Yet,2,6/21/16,MA
7328263,104 SUMMIT AVE,,BROOKLINE,8/17/16,Not Discovered Yet,Not Discovered Yet,1,8/18/16,MA
7329731,104 WALNUT ST,,WATERTOWN,10/24/16,Not Discovered Yet,Not Discovered Yet,1,10/24/16,MA
7327805,104 WASHINGTON ST,,GROVELAND,7/26/16,Not Discovered Yet,Not Discovered Yet,2,8/17/16,MA
7330450,1040 WINTHROP PKY,,REVERE,12/1/16,Not Discovered Yet,Not Discovered Yet,3,12/2/16,MA
7325418,1045 BROOK RD,,MILTON,5/9/16,Not Discovered Yet,Not Discovered Yet,2,5/12/16,MA
7326391,105 AUBURN ST,,NEWTON,6/9/16,Not Discovered Yet,Not Discovered Yet,1,6/9/16,MA
325290,105 CHUBBUCK ST,,QUINCY,8/4/09,3,3,2,7/7/16,MA
7324781,105 COTTAGE ST,,CHELSEA,4/21/16,Not Discovered Yet,Not Discovered Yet,1,4/21/16,MA
7327582,105 ELM ST,,SALISBURY,7/13/16,Not Discovered Yet,Not Discovered Yet,2,10/17/16,MA
7330401,105 ELM ST,,SALISBURY,10/27/16,Not Discovered Yet,Not Discovered Yet,2A,12/8/16,MA
7323778,105 FEDERAL ST,,SALEM,3/3/16,Not Discovered Yet,Not Discovered Yet,1,3/4/16,MA
1277882,105 FULTON ST,,MEDFORD,7/9/13,3,3,2,6/9/16,MA
7330644,105 GREENLEAF AVE,,MEDFORD,12/12/16,Not Discovered Yet,Not Discovered Yet,1,12/12/16,MA
7329797,105 KENOZA AVE,,HAVERHILL,10/27/16,Not Discovered Yet,Not Discovered Yet,1,10/31/16,MA
7322767,105 MURDOCK ST,,BRIGHTON,1/19/16,Not Discovered Yet,Not Discovered Yet,2,1/19/16,MA
7326665,105 TOLMAN ST,,NEWTON,5/24/16,Not Discovered Yet,Not Discovered Yet,2,7/20/16,MA
