Leak #,Reported Address,Cross street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,17-SQ-05 Class,Note,State
248892,10 STOW ST,,ACTON,7/31/03,3,3,3,,MA
7322291,10 SUMMER AVE,,MALDEN,12/10/15,Not Discovered Yet,3,3,,MA
3824190,10 SUMNER TER,,DORCHESTER,3/30/15,Not Discovered Yet,3,3,,MA
7321299,10 TEN HILLS RD,,SOMERVILLE,11/10/15,Not Discovered Yet,3,3,,MA
190526,10 TILLYER AV,,SOUTHBRIDGE,3/16/00,3,3,3,,MA
1181758,10 TOWNE LN,,TOPSFIELD,3/24/13,3,3,3,,MA
7324368,10 VALLEY BEACH AVE,,HULL,12/4/12,Missed 2,Missed 2,3,,MA
329615,10 WEBBER AVE,,BEDFORD,1/11/10,3,3,3,,MA
323543,10 WESTON AVE,,QUINCY,6/11/09,3,3,3,,MA
195362,10 WHITTIER RD,,MEDFORD,8/7/00,3,3,3,,MA
922810,10 WILLIAMS ST,,WALTHAM,6/29/12,3,3,3,,MA
327198,10 WINTER ST,,QUINCY,10/2/09,3,3,3,,MA
7326229,100 BAY STATE RD,,BOSTON,5/25/16,Not Discovered Yet,Not Discovered Yet,3,,MA
129267,100 BEDFORD RD,,LINCOLN,9/28/98,3,3,3,,MA
7329978,100 BEDFORD RD,,LINCOLN,9/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7326276,100 BRIDGE ST,,BEVERLY,5/25/16,Not Discovered Yet,Not Discovered Yet,3,,MA
243998,100 BROOK HILL RD,,MILTON,3/28/03,3,3,3,,MA
288989,100 CAMBRIDGE ST,,BOSTON,5/22/06,3,3,3,,MA
1626052,100 CONANT RD,,WESTON,4/3/14,3,3,3,,MA
7331114,100 COTTAGE ST,,NORWOOD,11/15/16,Not Discovered Yet,Not Discovered Yet,3,,MA
987512,100 CRESCENT ST,,NEWTON,8/27/12,3,3,3,,MA
7328297,100 ESSEX ST,,SAUGUS,8/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7322176,100 GUGGINS LN,,BOXBOROUGH,10/14/15,Not Discovered Yet,3,3,,MA
310935,100 HANCOCK ST,,QUINCY,5/21/08,3,3,3,,MA
307146,100 HICKORY LN,,WEYMOUTH,12/28/07,3,3,3,,MA
7320931,100 LOCUST ST,,PEABODY,6/26/15,Not Discovered Yet,3,3,,MA
7331123,100 LOTHROP ST,,BEVERLY,3/22/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7331124,100 LOTHROP ST,,BEVERLY,3/22/16,Not Discovered Yet,Not Discovered Yet,3,,MA
4508073,100 LOWELL ST,,PEABODY,6/9/15,Not Discovered Yet,3,3,,MA
330679,100 MCGRATH HWY,,QUINCY,2/9/10,3,3,3,,MA
349137,100 MCKAY ST,,BEVERLY,6/4/11,3,3,3,,MA
308775,100 NOKOMIS RD,,HINGHAM,3/10/08,3,3,3,,MA
1760720,100 NORTH ST,,DANVERS,9/26/14,3,3,3,,MA
1317422,100 PERKINS ST,,MELROSE,8/19/13,3,3,3,,MA
1726501,100 PROSPECT ST,,SOMERVILLE,8/19/14,2A,3,3,,MA
829345,100 RHODA ST,,QUINCY,2/17/12,3,3,3,,MA
7324876,100 SHAWMUT ST,,QUINCY,4/6/12,Missed 2,Missed 2,3,,MA
7326230,100 STUART ST,,BOSTON,5/22/16,Not Discovered Yet,Not Discovered Yet,3,,MA
270655,100 SUFFOLK RD,,NEWTON,8/19/04,3,3,3,,MA
305208,100 SUMMIT AVE,,BROOKLINE,8/14/07,3,3,3,,MA
4230548,100 W CEDAR ST,,BOSTON,5/28/15,Not Discovered Yet,3,3,,MA
324705,100 WARREN AVE,,QUINCY,7/17/09,3,3,3,,MA
7323107,100 WELLESLEY AVE,,WELLESLEY,1/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7329420,100 WHITCOMB AVE,,JAMAICA PLAIN,10/6/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6019018,1000 AUBURN ST,,WHITMAN,9/11/15,Not Discovered Yet,3,3,,MA
323099,1000 HANCOCK ST,,QUINCY,6/1/09,3,3,3,,MA
1756760,1000 HANCOCK ST,,QUINCY,9/23/14,3,3,3,,MA
4973978,1000 SEA ST,,QUINCY,5/27/15,Not Discovered Yet,3,3,,MA
7329963,1000 SOUTHERN AR,,QUINCY,11/3/16,Not Discovered Yet,Not Discovered Yet,2,,MA
250300,1000 WINTHROP AV,,REVERE,8/22/03,3,3,3,,MA
1447344,1001 BOSTON PROVIDENCE TPKE,,NORWOOD,12/16/13,3,3,3,,MA
7324836,1001 BOSTON PROVIDENCE TPKE,,NORWOOD,4/20/16,Not Discovered Yet,Not Discovered Yet,3,,MA
334674,1005 MORTON ST,,DORCHESTER,6/8/10,3,3,3,,MA
339701,1006 CANTON AVE,,MILTON,11/20/10,3,3,3,,MA
3824299,1008 WASHINGTON ST,,DORCHESTER,4/8/15,Not Discovered Yet,3,3,,MA
335390,101 ABIGAIL ADAMS CIR,,WEYMOUTH,7/13/10,3,3,3,,MA
1277878,101 ALMONT ST,,DORCHESTER,4/30/13,3,3,3,,MA
1303557,101 ASHMONT ST,,DORCHESTER,6/14/13,3,3,3,,MA
1338887,101 BAY VIEW DR,,SWAMPSCOTT,7/25/13,3,3,3,,MA
1638815,101 BELLEVUE HILL RD,,WEST ROXBURY,5/8/14,3,3,3,,MA
214930,101 BLACK OAK RD,,WESTON,4/2/01,3,3,3,,MA
305482,101 COOLIDGE ST,,BROOKLINE,10/19/07,3,3,3,,MA
5091338,101 CRANBERRY RD,,WHITMAN,3/9/15,Not Discovered Yet,3,3,,MA
7325897,101 DOVER ST,,MEDFORD,5/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
107993,101 ELLIOTT ST,,DANVERS,12/20/96,3,3,3,,MA
321147,101 FAIROAKS LN,,COHASSET,4/7/09,3,3,3,,MA
2172944,101 FAIROAKS LN,,COHASSET,11/13/14,3,3,3,,MA
161096,101 GLOUCESTER AV,,GLOUCESTER,2/24/00,3,3,3,,MA
1780662,101 HACKENSACK RD,,WEST ROXBURY,9/8/14,3,3,3,,MA
333619,101 HANSON RD,,NEWTON,5/14/10,3,3,3,,MA
915198,101 HULL ST,,COHASSET,6/26/12,3,3,3,,MA
7329520,101 HULL ST,,COHASSET,10/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7321332,101 PEARL ST,,SOMERVILLE,11/13/15,Not Discovered Yet,3,3,,MA
266169,101 ST PAUL ST,,BROOKLINE,9/15/04,3,3,3,,MA
336319,101 SUMNER RD,,BROOKLINE,8/14/10,3,3,3,,MA
299677,101 WHITING ST,,HINGHAM,4/13/07,3,3,3,,MA
7327370,1011 FELLSWAY,,MEDFORD,7/6/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1520148,1011 MASSACHUSETTS AVE,,ARLINGTON,1/29/14,3,3,3,,MA
1727695,1014 MAIN ST,,LYNNFIELD,8/18/14,3,3,3,,MA
230907,1016 MAIN ST,,LYNNFIELD,5/23/02,3,3,3,,MA
7328420,1019 MAIN ST,,WALTHAM,8/18/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1012592,102 BENVENUE ST,,WELLESLEY,10/3/12,3,3,3,,MA
42619,102 BOYD ST,,NEWTON,2/15/92,3,3,3,,MA
4631312,102 CARLISLE RD,,BEDFORD,6/18/15,Not Discovered Yet,3,3,,MA
880490,102 CEDAR ST,,ROXBURY,4/11/12,3,3,3,,MA
3204820,102 DOTY ST,,WALTHAM,3/5/15,Not Discovered Yet,3,3,,MA
230612,102 EIGHTH ST,,LEOMINSTER,5/23/02,3,3,3,,MA
7324865,102 HALL PL,,QUINCY,3/28/12,Missed 2,Missed 2,3,,MA
7322462,102 JASON ST,,ARLINGTON,12/13/15,Not Discovered Yet,Missed 2,3,,MA
3640673,102 JOY LN,,GROTON,10/13/14,Missed,3,3,,MA
7330824,102 KESLAR AVE,,LYNN,12/15/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6750039,102 LINCOLN RD,,LINCOLN,10/9/15,Not Discovered Yet,3,3,,MA
338013,102 LORING AVE,,WINCHESTER,9/30/10,3,3,3,,MA
1363562,102 MCCARTHY RD,,NEWTON,9/18/13,3,3,3,,MA
105458,102 PLAIN ST,,BRAINTREE,8/14/96,3,3,3,,MA
1338217,102 RIDGE AVE,,NEWTON,8/20/13,3,3,3,,MA
293691,102 SEARS RD,,WAYLAND,9/13/06,3,3,3,,MA
190650,102 THORNTON ST,,ROXBURY,4/28/00,3,3,3,,MA
7325147,102 WOODRUFF AVE,,MEDFORD,4/26/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1738326,1020 BROADWAY,,SAUGUS,8/25/14,3,3,3,,MA
275851,1020 CANTON AV,,MILTON,6/17/05,3,3,3,,MA
152530,1024 WASHINGTON ST,,WHITMAN,7/1/99,3,3,3,,MA
7327367,1025 FELLSWAY,,MEDFORD,7/6/16,Not Discovered Yet,Not Discovered Yet,3,,MA
317857,1026 SEA ST,,QUINCY,1/18/09,3,3,3,,MA
340124,103 ALLANDALE ST,,JAMAICA PLAIN,12/16/10,3,3,3,,MA
1050584,103 BEALS ST,,BROOKLINE,9/10/12,3,3,2A,,MA
115018,103 BELMONT ST,,WEYMOUTH,7/28/97,3,3,3,,MA
3189323,103 BELMONT ST,,WEYMOUTH,3/3/15,Not Discovered Yet,3,3,,MA
4348392,103 BOYLSTON ST,,WATERTOWN,5/27/15,Not Discovered Yet,3,3,,MA
7328401,103 BROOKS ST,,MEDFORD,8/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
41402,103 CENTRAL ST,,PEABODY,10/12/94,3,3,3,,MA
234516,103 CLIFF RD,,MILTON,8/26/02,3,3,3,,MA
7324021,103 EVERETT ST,,SOUTHBRIDGE,3/16/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7322407,103 FOREST ST,,MEDFORD,12/25/15,Not Discovered Yet,3,3,,MA
