ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
106004,DALE ST ,WAL ,TOTTEN CIR ,10/17/96,3
106008,897 CHESTNUT ST ,NEW ,,10/11/96,3
106036,47 CEDAR RD ,MED ,HOWARD RD ,10/17/96,3
106041,104 GREATON RD ,WRO ,,10/18/96,3
106149,149 PARK AV ,ARL ,,10/17/96,3
106167,MAIN ST ,WAL ,HARDING ST ,10/8/96,3
106228,735 MAIN ST ,WAL ,,10/7/96,3
106235,144 SCHOOL ST ,WAL ,,10/3/96,3
106242,21 CLINTON ST ,WAL ,,10/2/96,3
106251,400 CRESCENT ST ,WAL ,,10/1/96,3
106399,60 MUTTON LN ,WEY ,,10/18/96,3
106400,35 MUTTON LN ,WEY ,,10/18/96,3
106653,COLBY RD ,PEA ,PRINCETON ST ,10/30/96,3
106911,47 W MAIN ST ,DUD ,,11/12/96,3
106991,5 BARRETT RD ,PEA ,,10/8/96,3
107164,120 GRANT ST ,WEY ,,10/10/96,3
107268,63 SOUTH AV ,BUR ,SECOND AV ,11/20/96,3
107711,6 SUTTON AV ,SAL ,,11/21/96,3
107734,219 PARADISE RD ,SWA ,,12/3/96,3
107993,101 ELLIOTT ST ,DAN ,,12/20/96,3
108000,7 NORTHFIELD WY ,DAN ,,12/19/96,3
108028,1141 PLEASANT ST ,WEY ,,11/14/96,3
108037,1203 MAIN ST ,WEY ,WOODCREST CT ,11/19/96,3
108050,305 CENTRAL ST ,WEY ,,11/1/96,3
108062,61+67 JOSEPH A FERN CT ,WEY ,,10/15/96,3
108064,99 LORRAINE ST ,WEY ,,10/16/96,3
108078,10 ABBOTT ST ,WEY ,,11/3/96,3
108080,82 CIRCUIT RD ,WEY ,,10/25/96,3
108096,41 HOLLIS ST ,WEY ,,11/6/96,3
108098,279 RANDOLPH ST ,WEY ,,11/6/96,3
108102,156 RANDOLPH ST ,WEY ,,11/6/96,3
108123,37 WESTMINSTER RD ,WEY ,,10/17/96,3
108133,180 NORTH ST ,WEY ,,9/25/96,3
108141,9 CENTRAL ST ,WEY ,,11/4/96,3
108153,187 ELMER RD ,WEY ,,11/8/96,3
108233,631 BLUE HILLS PKWY ,MIL ,,11/12/96,3
108251,151 HIGHLAND ST ,MIL ,,10/10/96,3
108252,45 FROTHINGHAM ST ,MIL ,,10/11/96,3
108257,40 ARTWILL ST ,MIL ,,10/7/96,3
108266,75 BLUE HILLS PKWY ,MIL ,,11/7/96,3
108267,111 BLUE HILLS PKWY ,MIL ,,11/7/96,3
108291,117 DIMMOCK ST ,QUI ,,12/19/96,3
108418,8 UPLAND RD ,BEV ,PORTER TERR ,12/26/96,3
108580,444 BROADWAY ,SAU ,,1/6/97,3
