ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
335424,14 SAMUEL RD ,CFD ,RUTH ELLEN RD ,10/18/14,3, CORROSION
335507,191 GRANT AVE ,NEW ,GRAY CLIFF RD ,9/24/14,2, NATURAL FORCE
335511,266 HYDE PARK AVE ,JPL ,ELDRIDGE RD ,7/31/14,3, OTHER
335593,138 WESTON RD ,WEL ,KENDALL RD ,12/8/14,3, NATURAL FORCE
335644,2 LARCHMONT ST ,DAN ,BURROUGHS ST ,10/27/14,2, CORROSION
335695,MARGIN ST ,PEA ,NICKERSON RD ,11/28/14,3, OTHER
335779,64 CENTRE ST ,DAN ,DEORLANDO WAY ,10/30/14,2, OTHER
335858,35 ALGONQUIN RD ,CFD ,CLARISSA RD ,8/5/14,3, CORROSION
335926,75 PRAIRIE AVE ,NEW ,AUBURNDALE AVE ,6/17/14,2, CORROSION
336134,165 ESSEX ST ,BEV ,CORNING ST ,11/7/14,2, MATL OR WELD FAILURE
336134,165 ESSEX ST ,BEV ,CORNING ST ,11/7/14,2, MATL OR WELD FAILURE
336136,7 LAURINE RD ,DAN ,CONANT ST ,10/27/14,2, OTHER
336307,114 BALD EAGLE RD ,WEY ,MAY TER ,11/1/14,3, OTHER
336312,1034 LIBERTY ST ,BRA ,SYCAMORE RD ,3/11/14,3, EQUIPMENT
336629,105 HOBART ST ,DAN ,WADSWORTH ST ,11/11/14,2, OTHER
337005,10 LOCKE RD ,NEW ,DORSET RD ,3/3/14,2, OTHER
337253,71 CENTRAL AVE ,MED ,SHERIDAN AVE ,11/8/14,3, NATURAL FORCE
337311,1150 HANCOCK ST ,QUI ,RUSSELL PIKE ,12/18/14,2, MATL OR WELD FAILURE
337311,1150 HANCOCK ST ,QUI ,RUSSELL PIKE ,12/18/14,2, MATL OR WELD FAILURE
337430,403 PLEASANT ST ,MAL ,RUSSELL ST ,11/17/14,3, CORROSION
337436,129 UTICA ST ,QUI ,BARBOUR TER ,6/9/14,2, CORROSION
337436,129 UTICA ST ,QUI ,BARBOUR TER ,6/9/14,2, CORROSION
337436,129 UTICA ST ,QUI ,BARBOUR TER ,6/9/14,2, OTHER
337463,279 CENTRE ST ,JPL ,WISE ST ,10/17/14,, OTHER
337470,11 COCHITUATE RD ,WAY ,CONCORD RD ,8/29/14,2, NATURAL FORCE
337664,FRANKLIN ST ,LNN ,WESTERN AVE ,6/2/14,, OTHER
338114,5 HALCYON RD ,NEW ,PARKER ST ,2/11/14,2, NATURAL FORCE
338174,26 RODGERS RD ,STO ,MAGNOLIA TER ,12/30/14,2, CORROSION
338174,26 RODGERS RD ,STO ,MAGNOLIA TER ,12/30/14,2, OTHER
